Var_lst,IndexNum
"Suspended sediment load, water, unfiltered, estimated by regression equation, pounds per second",physical
"Suspended solids dried at 105 degrees Celsius, water, unfiltered, short tons per day",physical
"Suspended solids remaining after ignition, water, unfiltered, milligrams per liter",physical
"Suspended solids, water, unfiltered, milligrams per liter",physical
Tebuconazole,chemical
temperature,physical
Temperature,physical
"Temperature of sensor, degrees Celsius",physical
"Temperature, air, degrees Celsius",physical
"Temperature, air, degrees Fahrenheit",physical
"Temperature, datalogger",physical
"Temperature, dew point",physical
"Temperature, Dew Point",physical
"Temperature, internal, within data collection platform, degrees Celsius",physical
"Temperature, intragravel water, degrees Celsius",physical
"Temperature, sensor",physical
"Temperature, soil, degrees Celsius",physical
"Temperature, soil, degrees Fahrenheit",physical
"Temperature, vent gas, volcanic, degrees Celsius",physical
"Temperature, water, degrees Celsius",physical
"Temperature, water, degrees Fahrenheit",physical
Terbuthylazine,chemical
Terbutryne,chemical
Tetrachloroethene,chemical
"Thallium, dissolved",chemical
"Thallium, total",chemical
Thorium,chemical
Thorium-228,chemical
Thorium-230,chemical
Thorium-232,chemical
"Thorium, dissolved",chemical
Threshold,physical
"Tidal elevation, NOS-averaged, NAVD88, feet",physical
Tide Stage,physical
"Tide stage, above datum, feet",physical
"Tide stage, code",physical
Time Stamp,physical
Tin,chemical
"Tin, dissolved",chemical
"Tin, total",chemical
Titanium,chemical
"Titanium, dissolved",chemical
Toluene,chemical
"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter",chemical
"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, pounds of nitrogen per day",chemical
"Total organic carbon, water, in situ, estimated, milligrams per liter",chemical
"Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury",physical
"Total partial pressure of dissolved gases, water, unfiltered, percent of saturation",physical
Total petroleum hydrocarbons,chemical
"Total sediment concentration, milligrams per liter",physical
"Total sediment discharge, short tons per day",physical
"Total solar radiation (direct + diffuse radiation on a horizontal surface), watts per square meter",physical
"Transducer signal, depth sensing, millivolts",physical
Transient species coverage,chemical
Triadimefon,chemical
Triadimenol,chemical
Trichlopyr,chemical
"Trichlorobenzene, total",chemical
Trichloroethene ,chemical
Trietazine,chemical
Trifloxystrobin,chemical
Trifluralin,chemical
"Tritium (3H), Delta T of H2O",chemical
Turbidity,physical
"Turbidity, water, unfiltered, broad band light source (400-680 nm), detection angle 90 +-30 degrees to incident light, nephelometric turbidity units (NTU)",physical
"Turbidity, water, unfiltered, Jackson Turbidity Units",physical
"Turbidity, water, unfiltered, monochrome near infra-red LED light source, 780-900 nm, detection angle 0-45 degrees to incident light (backscatter), FBU",physical
"Turbidity, water, unfiltered, monochrome near infra-red LED light source, 780-900 nm, multiple beam, detectors at multiple angles including 90 degrees, FNMU",physical
"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)",physical
"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detector angles at 90 +-2.5 degrees and 0-45 degrees, ratiometric, FBRU",physical
"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detectors at multiple angles including 90 +-2.5 degrees, ratiometric correction, FNRU",physical
"Turbidity, water, unfiltered, nephelometric turbidity units",physical
"Type of quality assurance data associated with sample, code",physical
"Underwater sound level related to sediment-generated noise, averaged from 1.0 to 1.5 kHz, decibels",physical
"Upper 90 percent prediction limit for SSC by regression (PCODE 99409), milligrams per liter",physical
"Upper 90 percent prediction limit for suspended sediment load by regression (PCODE 80297), short tons per day",physical
Uranium,chemical
Uranium-234,chemical
Uranium-235,chemical
Uranium-238,chemical
"Uranium, dissolved",chemical
Urea,chemical
USGS Water Science Center special 99900,physical
USGS Water Science Center special 99908,physical
USGS Water Science Center special 99917,physical
"UV fluorescence, water, in situ, single band, 370 nm excitation, 460 nm emission, relative fluorescence units (RFU)",chemical
Vanadium,chemical
"Vanadium, dissolved",chemical
"Vanadium, total",chemical
Vapor pressure,physical
Vapor pressure deficit,physical
Velocity,physical
"Velocity at point in stream, feet per second",physical
Vinclozolin,chemical
Voltage,physical
"Voltage ratio, voltage of transmitted electromagnetic pulse divided by the voltage of the returned pulse",physical
"Voltage, volts",physical
Volume,physical
"Volume of water, total during measurement interval, liters",physical
"Volumetric soil moisture content period, for internal control of sensor, milliseconds",physical
Volumetric water content,physical
Volumetric Water Content,physical
Volumetric water content ,physical
"Water column equivalent height, barometric",physical
"Water column pressure, pounds per square inch",physical
"Water content of snow, inches",physical
Water depth,physical
Water Depth,physical
"Water depth, averaged",physical
"Water depth, water surface to bottom, feet",physical
"Water depth, water surface to bottom, meters",physical
Water flux,physical
Water level,physical
Water Level,physical
"Water level above marsh, feet",physical
"Water level elevation above NAVD 1988, corrected for barometric pressure, feet",physical
"Water level elevation above NGVD 1929, inclined (non-vertical) well, feet",physical
"Water level, depth below measuring point, feet",physical
Water Potential,physical
Water Surface,physical
"Water surface elevation difference between two locations, feet",physical
Water vapor concentration,physical
"Water velocity reading from field sensor, feet per second",physical
Weather conditions,physical
wind direction,physical
Wind direction,physical
Wind Direction,physical
"Wind direction, degrees clockwise from true north",physical
"Wind direction, horizontal standard deviation",physical
Wind gust direction,physical
"Wind gust direction, air, degrees clockwise from true north",physical
Wind gust speed,physical
"Wind gust speed, air, knots",physical
"Wind gust speed, air, meters per second",physical
"Wind gust speed, air, miles per hour",physical
wind speed,physical
Wind speed,physical
Wind Speed,physical
"Wind speed, knots",physical
"Wind speed, meters per second",physical
"Wind speed, miles per hour",physical
Wrack coverage,chemical
Xylene,chemical
"Xylenes, total",chemical
Zinc,chemical
"Zinc, dissolved",chemical
"zinc, total",chemical
"Zinc, total",chemical
Zirconium-95,chemical
